,test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload,nw_speed
15,6.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.5400028120994103,0.4159706981404452,1.930755594819784,0.1932765191391809,411831.22,1
16,6.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.6372138639696643,0.5061830977874346,1.9464782843328428,0.1845524818493868,430245.92,1
17,6.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.82317075347004,0.6088626783882498,2.039649058101059,0.1746590169807313,399870.8,1
18,6.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.6849546382704284,0.6597669907985253,1.8551966014724168,0.1699910459994862,263738.42,1
19,6.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.5602013678179354,0.7827440567302981,1.6152761125682449,0.1621811985193926,176569.73,1
20,6.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.722776936920709,0.960641618128284,1.6118394715320028,0.1502958472604223,171126.88,1
21,2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,27.53163912586973,0.0324926513295587,27.29335925816018,0.2057872163799947,3235355.52,1
22,3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,9.18075032044988,0.9694807327497994,7.993355395110111,0.2179141925899693,866555.7,1
23,4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,2.211996430309992,0.0233236078898695,1.9780469961901053,0.2106258262300161,129724.38,1
24,5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,17.358253244520093,0.0496135859400972,17.10053993242005,0.2080997261599441,1968128.0,1
25,5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,7.952334225640043,0.2871142602297549,7.479264460840314,0.1859555045699744,802816.0,1
26,5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,8.84034277688992,0.3635487973501572,8.299548323459822,0.17724565607994,903168.0,1
